Timestamp,SeriesCode,Series,Lost megawatts
04/01/2024 13:00:00,UNKN,Unknown,54.0
04/01/2024 13:30:00,NZ_G,Geothermal,45.7
04/01/2024 13:30:00,NZ_H,Hydro,671.3
04/01/2024 13:30:00,NZ_T,Thermal,554.2
04/01/2024 13:30:00,NZ_W,Wind,193.9
04/01/2024 13:30:00,UNKN,Unknown,54.0
04/01/2024 16:00:00,NZ_G,Geothermal,45.7
04/01/2024 16:00:00,NZ_H,Hydro,666.3
04/01/2024 16:00:00,NZ_T,Thermal,554.2
04/01/2024 16:00:00,NZ_W,Wind,193.9
04/01/2024 16:00:00,UNKN,Unknown,54.0
05/01/2024 09:00:00,NZ_G,Geothermal,45.7
05/01/2024 09:00:00,NZ_H,Hydro,671.3
05/01/2024 09:00:00,NZ_T,Thermal,554.2
05/01/2024 09:00:00,NZ_W,Wind,193.9
05/01/2024 09:00:00,UNKN,Unknown,54.0
05/01/2024 16:00:00,NZ_G,Geothermal,45.7
05/01/2024 16:00:00,NZ_H,Hydro,666.3
05/01/2024 16:00:00,NZ_T,Thermal,554.2
05/01/2024 16:00:00,NZ_W,Wind,193.9
05/01/2024 16:00:00,UNKN,Unknown,54.0
05/01/2024 23:15:00,NZ_G,Geothermal,46.7
05/01/2024 23:15:00,NZ_H,Hydro,666.3
05/01/2024 23:15:00,NZ_T,Thermal,554.2
05/01/2024 23:15:00,NZ_W,Wind,193.9
05/01/2024 23:15:00,UNKN,Unknown,54.0
06/01/2024 07:00:00,NZ_G,Geothermal,46.7
06/01/2024 07:00:00,NZ_H,Hydro,666.3
06/01/2024 07:00:00,NZ_T,Thermal,554.2
06/01/2024 07:00:00,NZ_W,Wind,193.9
06/01/2024 07:00:00,UNKN,Unknown,55.0
06/01/2024 08:35:00,NZ_G,Geothermal,45.7
06/01/2024 08:35:00,NZ_H,Hydro,666.3
06/01/2024 08:35:00,NZ_T,Thermal,554.2
06/01/2024 08:35:00,NZ_W,Wind,193.9
06/01/2024 08:35:00,UNKN,Unknown,55.0
06/01/2024 09:00:00,NZ_G,Geothermal,45.7
06/01/2024 09:00:00,NZ_H,Hydro,869.3
06/01/2024 09:00:00,NZ_T,Thermal,554.2
06/01/2024 09:00:00,NZ_W,Wind,193.9
06/01/2024 09:00:00,UNKN,Unknown,55.0
06/01/2024 11:00:00,NZ_G,Geothermal,45.7
06/01/2024 11:00:00,NZ_H,Hydro,869.3
06/01/2024 11:00:00,NZ_T,Thermal,554.2
06/01/2024 11:00:00,NZ_W,Wind,193.9
06/01/2024 11:00:00,UNKN,Unknown,54.0
06/01/2024 12:00:00,NZ_G,Geothermal,45.7
06/01/2024 12:00:00,NZ_H,Hydro,671.3
06/01/2024 12:00:00,NZ_T,Thermal,554.2
06/01/2024 12:00:00,NZ_W,Wind,193.9
06/01/2024 12:00:00,UNKN,Unknown,54.0
06/01/2024 13:00:00,NZ_G,Geothermal,45.7
06/01/2024 13:00:00,NZ_H,Hydro,764.3
06/01/2024 13:00:00,NZ_T,Thermal,554.2
06/01/2024 13:00:00,NZ_W,Wind,193.9
06/01/2024 13:00:00,UNKN,Unknown,54.0
06/01/2024 14:20:00,NZ_G,Geothermal,46.7
06/01/2024 14:20:00,NZ_H,Hydro,764.3
06/01/2024 14:20:00,NZ_T,Thermal,554.2
06/01/2024 14:20:00,NZ_W,Wind,193.9
06/01/2024 14:20:00,UNKN,Unknown,54.0
06/01/2024 15:00:00,NZ_G,Geothermal,46.7
06/01/2024 15:00:00,NZ_H,Hydro,671.3
06/01/2024 15:00:00,NZ_T,Thermal,554.2
06/01/2024 15:00:00,NZ_W,Wind,193.9
06/01/2024 15:00:00,UNKN,Unknown,54.0
06/01/2024 15:20:00,NZ_G,Geothermal,45.7
06/01/2024 15:20:00,NZ_H,Hydro,671.3
06/01/2024 15:20:00,NZ_T,Thermal,554.2
06/01/2024 15:20:00,NZ_W,Wind,193.9
06/01/2024 15:20:00,UNKN,Unknown,54.0
06/01/2024 16:00:00,NZ_G,Geothermal,45.7
06/01/2024 16:00:00,NZ_H,Hydro,666.3
06/01/2024 16:00:00,NZ_T,Thermal,554.2
06/01/2024 16:00:00,NZ_W,Wind,193.9
06/01/2024 16:00:00,UNKN,Unknown,54.0
06/01/2024 21:00:00,NZ_G,Geothermal,45.7
06/01/2024 21:00:00,NZ_H,Hydro,666.3
06/01/2024 21:00:00,NZ_T,Thermal,554.2
06/01/2024 21:00:00,NZ_W,Wind,193.9
06/01/2024 21:00:00,UNKN,Unknown,57.0
06/01/2024 23:30:00,NZ_G,Geothermal,45.7
06/01/2024 23:30:00,NZ_H,Hydro,685.3
06/01/2024 23:30:00,NZ_T,Thermal,554.2
06/01/2024 23:30:00,NZ_W,Wind,193.9
06/01/2024 23:30:00,UNKN,Unknown,57.0
07/01/2024 01:30:00,NZ_G,Geothermal,45.7
07/01/2024 01:30:00,NZ_H,Hydro,666.3
07/01/2024 01:30:00,NZ_T,Thermal,554.2
07/01/2024 01:30:00,NZ_W,Wind,193.9
07/01/2024 01:30:00,UNKN,Unknown,57.0
07/01/2024 09:00:00,NZ_G,Geothermal,45.7
07/01/2024 09:00:00,NZ_H,Hydro,671.3
07/01/2024 09:00:00,NZ_T,Thermal,554.2
07/01/2024 09:00:00,NZ_W,Wind,193.9
07/01/2024 09:00:00,UNKN,Unknown,57.0
07/01/2024 12:00:00,NZ_G,Geothermal,45.7
07/01/2024 12:00:00,NZ_H,Hydro,666.3
07/01/2024 12:00:00,NZ_T,Thermal,554.2
07/01/2024 12:00:00,NZ_W,Wind,193.9
07/01/2024 12:00:00,UNKN,Unknown,57.0
07/01/2024 16:30:00,NZ_G,Geothermal,45.7
07/01/2024 16:30:00,NZ_H,Hydro,666.3
07/01/2024 16:30:00,NZ_T,Thermal,554.2
07/01/2024 16:30:00,NZ_W,Wind,193.9
07/01/2024 16:30:00,UNKN,Unknown,54.0
07/01/2024 20:00:00,NZ_G,Geothermal,45.7
07/01/2024 20:00:00,NZ_H,Hydro,666.3
07/01/2024 20:00:00,NZ_T,Thermal,521.0
07/01/2024 20:00:00,NZ_W,Wind,193.9
07/01/2024 20:00:00,UNKN,Unknown,54.0
